[96, 96, 232, 2]	4	3943
[96, 28, 94, 94]	4	3557
[96, 96, 28, 94, 94]	5	3555
[96, 96, 28, 94]	4	3555
[176, 2, 186, 2]	4	2866
[2, 176, 2, 186]	4	2862
[2, 176, 2, 186, 2]	5	2861
[186, 2, 94, 94]	4	2380
[2, 186, 2, 94]	4	2368
[2, 186, 2, 94, 94]	5	2364
[4, 571, 569, 15]	4	2158
[27, 28, 29, 42, 29, 0]	6	2089
[28, 29, 42, 29, 0]	5	2089
[27, 28, 29, 42, 29]	5	2089
[27, 28, 29, 42]	4	2089
[29, 42, 29, 0]	4	2089
[28, 29, 42, 29]	4	2089
[232, 2, 190, 2]	4	1963
[232, 2, 94, 94]	4	1923
[10, 29, 30, 29]	4	1599
[205, 2, 186, 2]	4	1587
[96, 96, 28, 165]	4	1585
[2, 205, 2, 186, 2]	5	1579
[2, 205, 2, 186]	4	1579
[28, 165, 94, 94]	4	1454
[96, 232, 2, 94]	4	1395
[96, 232, 2, 94, 94]	5	1387
[96, 96, 232, 2, 94, 94]	6	1385
[96, 96, 232, 2, 94]	5	1385
[6, 7, 8, 8]	4	1379
[28, 28, 4, 4]	4	1340
[96, 96, 171, 171]	4	1322
[28, 29, 32, 29]	4	1308
[27, 28, 29, 32, 29, 0]	6	1307
[27, 28, 29, 32, 29]	5	1307
[28, 29, 32, 29, 0]	5	1307
[27, 28, 29, 32]	4	1307
[29, 32, 29, 0]	4	1307
[94, 6, 7, 8, 8]	5	1297
[94, 6, 7, 8]	4	1297
[171, 171, 94, 94]	4	1261
[96, 96, 2, 190]	4	1156
[96, 2, 190, 2]	4	1153
[96, 96, 2, 190, 2]	5	1142
[232, 2, 186, 2]	4	1125
[2, 190, 2, 94]	4	1122
[190, 2, 94, 94]	4	1118
[2, 190, 2, 94, 94]	5	1117
[96, 28, 165, 94]	4	1095
[7, 8, 8, 9]	4	1084
